# Configurazione 1
PoissonPattern | soddisfatto | Visitati: 15 | Non visitati: 0 | Tempo: 235,6205 | Attesa: 0 | Distanza: 176,92
PoissonPattern | soddisfatto | Visitati: 12 | Non visitati: 0 | Tempo: 222,3316 | Attesa: 0 | Distanza: 177,0013
# Configurazione 1
# Configurazione 2
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 2
# Configurazione 1
# Configurazione 2
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 113,8341 | Attesa: 8,443326 | Distanza: 127,8481
SauterellePattern | soddisfatto | Visitati: 8 | Non visitati: 1 | Tempo: 111,1701 | Attesa: 14,06671 | Distanza: 132,3798
SauterellePattern | soddisfatto | Visitati: 7 | Non visitati: 0 | Tempo: 92,5945 | Attesa: 13,62189 | Distanza: 121,0199
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 1 | Tempo: 75,12414 | Attesa: 14,10626 | Distanza: 126,6568
PoissonPattern | soddisfatto | Visitati: 11 | Non visitati: 0 | Tempo: 161,5017 | Attesa: 0 | Distanza: 104,7692
FourmiPattern | soddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 176,4798 | Attesa: 1,647511 | Distanza: 150,1609
FourmiPattern | soddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 176,528 | Attesa: 28,8885 | Distanza: 168,6828
FourmiPattern | insoddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 180,5463 | Attesa: 58,947 | Distanza: 179,2335
FourmiPattern | insoddisfatto | Visitati: 8 | Non visitati: 0 | Tempo: 194,9203 | Attesa: 54,65597 | Distanza: 238,2128
# Configurazione 1
SauterellePattern | soddisfatto | Visitati: 6 | Non visitati: 0 | Tempo: 108,1182 | Attesa: 4,943128 | Distanza: 96,30448
